Date,Contributor,Amount,Recipient,Description
2025-06-24,MUNICIPAL EXECUTIVES ASSOCIATION OF SAN FRANCISCO,1045.98,San Francisco Municipal Executives' PAC,
2025-06-24,MUNICIPAL EXECUTIVES ASSOCIATION OF SAN FRANCISCO,1239.3,San Francisco Municipal Executives' PAC,
2025-06-24,MUNICIPAL EXECUTIVES ASSOCIATION OF SAN FRANCISCO,1356.81,San Francisco Municipal Executives' PAC,
2025-06-23,"POLITICAL DATA, INC.",4200.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-06-23,VERBATIM RESPONSE,1280.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-06-23,"NICHOLS RESEARCH, INC.",7566.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-06-23,"KGS RESEARCH, INC.",33741.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-06-23,OLSON REMCHO LLP,455.74,San Francisco Municipal Executives' PAC,
2025-06-06,PIPEDRIVE,38.4,Ben Kaplan for Community College Board 2024,
2025-06-06,F460ELINE2,258.21,Ben Kaplan for Community College Board 2024,
2025-06-02,GOOGLE,7.42,Ben Kaplan for Community College Board 2024,
2025-05-29,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-05-23,S.E. OWENS & COMPANY,300.0,San Francisco Communities Against Displacement,
2025-05-13,S.E. OWENS & COMPANY,50.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,S.E. OWENS & COMPANY,325.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,S.E. OWENS & COMPANY,34.92,"Better Roads and Transit, Yes on L",
2025-05-13,F460ILINE2,10.0,"Better Roads and Transit, Yes on L",
2025-05-13,S.E. OWENS & COMPANY,530.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,S.E. OWENS & COMPANY,55.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,S.E. OWENS & COMPANY,595.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,S.E. OWENS & COMPANY,175.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,F460ELINE2,50.0,"Better Roads and Transit, Yes on L",
2025-05-13,S.E. OWENS & COMPANY,400.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-13,ROUGH HOUSE PRODUCTIONS,15000.0,"Better Roads and Transit, Yes on L",Bill Forgiven
2025-05-06,PIPEDRIVE,38.4,Ben Kaplan for Community College Board 2024,
2025-05-05,GOOGLE,43.2,Ben Kaplan for Community College Board 2024,
2025-04-25,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-04-24,S.E. OWENS & COMPANY,400.0,San Francisco Communities Against Displacement,
