Contributor,Amount,Recipient,Date
"A MORE AFFORDABLE CALIFORNIA, SPONSORED BY UBER",12000000.0,Uber Innovation Ballot Measure Committee,2025-10-29
"UBER TECHNOLOGIES, INC.",6000000.0,Uber Innovation Ballot Measure Committee,2025-07-08
"UBER TECHNOLOGIES, INC.",6000000.0,Uber Innovation Ballot Measure Committee,2025-09-02
"UBER TECHNOLOGIES, INC.",2000000.0,Uber Innovation Ballot Measure Committee,2025-07-08
NEVADANS FOR FAIR RECOVERY PAC,1000000.0,Uber Innovation Ballot Measure Committee,2025-02-18
